"url","lang","title","category","intro","content","time"
"https://dantri.com.vn/xa-hoi/hai-vu-tai-nan-nghiem-trong-lien-tiep-xay-ra-quoc-lo-12a-tac-cung-20180907071441215.htm","vi","Hai vụ tai nạn nghiêm trọng liên tiếp xảy ra quốc lộ 12A tắc cứng","Giao thông","Chỉ trong một thời gian ngắn, hai vụ tai nạn giao thông nghiêm trọng đã liên tiếp xảy ra cùng một vị trí trên quốc lộ 12A. Sự việc khiến tuyến đường nối Quảng Bình với nước bạn Lào bị ùn tắc cục bộ nhiều giờ liền.","Vào khoảng 11h30 ngày 6/9, trên quốc lộ 12A đã xảy ra vụ tai nạn giao thông nghiêm trọng giữa xe khách và xe container. Thời điểm này, xe khách mang BKS UN - 0788 do tài xế Trần Văn Thắng (SN 1975), trú TP Vinh, tỉnh Nghệ An điều khiển đang lưu thông hướng từ cửa khẩu Cha Lo về ngã ba Khe Ve. Hiện trường vụ tai nạn Khi đi qua địa bàn thôn Hà Vi, xã Dân Hóa (huyện Minh Hóa), xe khách bất ngờ tông vào xe container mang BKS 34C - 090.48 kéo theo rơ - moóc BKS 34R – 008.44 do anh Nguyễn Phúc Hải (SN 1990), trú huyện Kinh Môn, tỉnh Hải Dương điều khiển, chạy chiều ngược lại. Trong khi các lực lượng chức năng đang khắp phục hậu quả vụ tai nạn kể trên, thì đến khoảng13h cùng ngày, xe tải chở hoa quả mang BKS 37C – 106.48 do Võ Châu Tuấn (SN 1960), trú xã Minh Hợp, Quy Hợp, Nghệ An đang lưu thông từ cửa khẩu Cha Lo về qua đoạn đường vừa xảy ra vụ tai nạn đã không kịp xử lý và va chạm với xe chở đá mang BKS UN – 1236 kéo theo rơ - moóc UN – 0748 do anh Nguyễn Như Chí điều khiển. Hai vụ tai nạn giao thông liên tiếp đã khiến Quốc lộ 12A ắc tắc cục bộ Hai vụ tai nạn nghiêm trọng nói trên đã khiến 4 người bị thương, trong đó tài xế Nguyễn Như Chí bị thương nặng và được người dân đưa đi cấp cứu. Tại hiện trường, 4 xe bị hư hỏng nặng, chặn ngang đường khiến quốc lộ 12A ách tắc nhiều giờ liền. Lực lượng chức năng đang điều tra làm rõ nguyên nhân hai vụ tai nạn kể trên. Đặng Tài Tag : Quốc lộ 12A , Tai nạn liên hoàn , tai nạn giao thông nghiêm trọng","07-09-2018_06-00-00"
"https://dantri.com.vn/xa-hoi/bo-truong-gtvt-dong-y-chu-truong-xay-dung-tuyen-duong-sat-tuy-hoa-buon-ma-thuot-20180823154109404.htm","vi","Bộ trưởng GTVT đồng ý chủ trương xây dựng tuyến đường sắt Tuy Hòa  Buôn Ma Thuột","Giao thông","Trong chuyến công tác tại Đắk Lắk, Bộ trưởng Bộ GTVT Nguyễn Văn Thể cho rằng đã đưa tuyến đường sắt Tuy Hòa – Buôn Ma Thuột vào quy hoạch và Bộ đồng ý về mặt chủ trương xây dựng tuyến đường này.","Ngày 23/8, thông tin từ Văn phòng UBND tỉnh Đắk Lắk, cho biết, nhân chuyến công tác tại tỉnh Đắk Lắk vừa qua, Bộ trưởng GTVT Nguyễn Văn Thể đồng ý với lãnh đạo UBND tỉnh Đắk Lắk về chủ trương làm tuyến đường sắt Tuy Hòa (Phú Yên) - Buôn Ma Thuột (Đắk Lắk). Bộ trưởng Bộ GTVT đồng ý chủ trương xây dựng tuyến đường sắt Tuy Hòa - Phú Yên (ảnh minh họa) Ông Phạm Ngọc Nghị - Chủ tịch UBND tỉnh Đắk Lắk, cho biết: “Tuyến đường sắt Tuy Hòa - Buôn Ma Thuột nếu được thực thi tạo nhiều điều kiện thuận lợi không chỉ cho địa phương mà còn là động lực thúc đẩy phát triển chung của toàn khu vực Tây Nguyên. Tuyến đường này sẽ làm giảm áp lực giao thông đường bộ và tỉnh đã đề nghị lãnh đạo Bộ GTVT sớm triển khai tuyến đường sắt này”. Tại buổi làm việc cùng UBND tỉnh Đắk Lắk về các vấn đề giao thông trên địa bàn, Bộ trưởng Bộ GTVT Nguyễn Văn Thể đồng ý với đề xuất của lãnh đạo UBND tỉnh Đắk Lắk về chủ trương xây dựng. Tuy nhiên, để triển khai dự án cần mời một số nhà đầu tư nước ngoài, cùng tổ chức các hội nghị xúc tiến đầu tư tuyến đường sắt này. “Các tỉnh Tây Nguyên cần làm lộ trình cùng với Bộ GTVT trình Chính phủ. Chúng tôi đã đưa tuyến đường sắt vào quy hoạch, nghĩa là con đường này có tính khả thi và có nhu cầu”, Bộ trưởng Nguyễn Văn Thể nhấn mạnh. Trước đó, ngày 24/8/2015 Thủ tướng Chính phủ ký Quyết định 1468/QĐ-TTg về việc phê duyệt quy hoạch tổng thể phát triển giao thông đường sắt Việt Nam đến năm 2020 tầm nhìn 2030. Trong đó, nghiên cứu, xây dựng tuyến đường sắt kết nối khu vực Tây Nguyên: Đắk Nông – Kon Tum – Đắk Lắk – Bình Phước dài khoảng 550 km; Tuy Hòa – Buôn Ma Thuột dài khoảng 169 km; Đắk Nông – Bình Thuận dài khoảng 121 km. Thúy Diễm Tag : đường sắt , đường sắt Tuy Hòa - Buôn Ma Thuột","23-08-2018_17-20-00"
"https://dantri.com.vn/xa-hoi/hai-be-gai-bi-xe-bon-can-tu-vong-tren-duong-di-hoc-ve-20180823211610694.htm","vi","Hai bé gái bị xe bồn cán tử vong trên đường đi học về","Giao thông","Người ông điều khiển xe máy chở 2 cháu ngoại di chuyển trên đường thì bất ngờ xảy ra va chạm với xe bồn. Hậu quảcả 2 cháu gái tử vong, người ông bị thương.","Theo đó, khoảng 11h trưa 23/8, ông ngoại (khoảng 60 tuổi) điều khiển xe máy đón 2 cháu gái (lớp 3 và lớp 7) đi học về. Khi đang lưu thông trên cầu Phú Xuân (thuộc địa bàn huyện Nhà Bè, TPHCM) thì bất ngờ xảy ra va chạm với xe bồn mang biển số tỉnh Đồng Nai chạy cùng chiều. Chiếc xe bồn tại hiện trường Địa điểm xảy ra tai nạn khiến 2 bé gái tử vong Cú va chạm khiến phương tiện cùng 3 ông cháu ngã xuống đường. 2 cháu gái bị xe bồn cán tử vong tại chỗ, riêng người ông bị thương nhẹ. Nhận tin báo, cơ quan chức năng huyện Nhà Bè có mặt khám nghiệm hiện trường, điều tra làm rõ nguyên nhân vụ việc. Nhiều người dân đã không cầm được nước mắt trước sự việc đau lòng trên. Theo người dân địa phương, đoạn đường này có nhiều xe bồn chạy qua vì gần kho xăng. “Xe bồn chạy liên tục qua đây, có xe chạy ẩu lắm. Đoạn này cũng xảy ra nhiều vụ tai nạn rồi” – người đàn ông ở gần hiện trường phản ánh. Nguyên nhân vụ tai nạn đang được cơ quan chức năng làm rõ. Trương Nhân Tag : 2 bé gái tử vong trên đường đi học về , tai nạn giao thông , 3 ông cháu bị xe bồn cán , xe bồn cán chết 2 bé gái","23-08-2018_21-48-00"
"https://dantri.com.vn/phap-luat/ha-noi-nu-sinh-to-cao-lai-xe-grab-so-dui-sam-so-o-noi-vang-ve-20180826075201261.htm","vi","Hà Nội Nữ sinh tố cáo lái xe Grab sờ đùi sàm sỡ ở nơi vắng vẻ","Giao thông","Ngày 23/8, một nữ sinh viên năm thứ nhất đại học ở Hà Nội đã đặt chuyến xe Grab vào buổi trưa để đi qua cầu Vĩnh Tuy lấy đồ. Theo lời của cô gái này, trong lúc chờ đợi ở nơi vắng vẻ, cô đã bị lái xe “sờ đùi” và định lạm dụng. Vì quá bất ngờ, nạn nhân chỉ kịp đẩy cửa bỏ chạy.","Trao đổi với PV Báo ANTĐ, bạn N.K.H (SN 2000, hiện đang tạm trú tại quận Hai Bà Trưng, Hà Nội) cho biết, sự việc xảy ra vào trưa ngày 23-8. “Em nhận cuộc gọi của gia đình nhắn lấy đồ gửi qua xe khách khá gấp. Khoảng 13h30 là xe đi qua vị trí gần cầu Vĩnh Tuy, nên lúc 13h10, em đã đặt một chuyến Grab Car để di chuyển cho nhanh”, H. kể lại. Lái xe Grab nhận chuyến đi là Trần X.D (điều khiển xe hiệu Toyota Camry, mang BKS 29A-615.**). Do khá vội nên H. mặc áo phông có tay và quần soóc – là trang phục đang mặc ở nhà - bước lên xe, ngồi ở ghế sau bên phải. Lợi dụng việc nữ khách hàng đưa điện thoại, lái xe sàm sỡ đã tự động chấm ""5 sao"" cho mình Sau khi di chuyển qua cầu Vĩnh Tuy, lái xe đã điều khiển xe dừng ở một điểm vắng vẻ, và đỗ dưới trời nắng chứ không tìm nơi có bóng râm. “Em có thắc mắc là sao chú ấy không tìm nơi có bóng mát và đông người qua lại để đỗ, thì chú ấy bảo đi thêm thì sẽ phải trả thêm tiền, nên đỗ tại đây thôi. Người đó tầm trung niên, nhưng luôn xưng anh – em. Do không biết đường nên em đã đưa máy điện thoại cho chú ấy để nghe lịch trình của xe khách”, H. cho biết. Điều đáng nói là khi cầm điện thoại của khách hàng, lái xe D. đã cố tình tự đánh giá “5 sao” (mức cao nhất trong xếp hạng chất lượng phục vụ) cho chuyến đi này. Sau đó, người này nghe điện và biết được rằng phải mất 20 phút nữa, xe khách mới tới điểm hẹn. Theo lời H., lái xe đã quay xuống mời cô đi uống cà phê trong lúc chờ đợi, song nữ sinh này kiên quyết từ chối. Sau 2-3 lần mời mọc không hiệu quả, lái xe D. đã quay xuống đưa chai nước khoáng mời H., song cô chỉ cầm chứ không uống. Sau khi bị sàm sỡ, nữ sinh đã vô cùng sợ hãi, và không dám đặt Grab Car để di chuyển khi đi một mình “Bất ngờ, người đó mở cửa xe, đi xuống ghế sau rồi tự tay bóc nước mời em. Sau đó, người này kéo rèm che phía sau ô tô, nói là để đỡ nắng. Những hành động bất thường đó khiến em rất sợ và cảnh giác cao độ. Rồi người đó tự nhiên ngồi sát vào em, một tay sờ đùi, tay kia lần vào áo định đưa lên ngực, song em đã nhanh tay gạt xuống và kêu lên ‘chú làm gì vậy?’”, H. kể lại khoảnh khắc đáng sợ. Khi nữ sinh trên đẩy cửa xe định chạy ra ngoài, lái xe D. đã với tay kéo cửa lại, nhưng không kịp. Do quá sợ hãi, H. đã kiên quyết không quay trở lại xe, mà bỏ chạy đi một đoạn. Nhưng vì đường vắng, lại giữa trưa nắng, nên không có phương tiện nào đi qua. Trong khi đó, lái xe D. vẫn đỗ xe tại chỗ, và liên tục gọi điện cho H. để thuyết phục cô quay trở lại, vì… “anh xin lỗi, anh đã lên ghế trên rồi”. Một lúc sau, xe khách tới và giao đồ cho nữ sinh này. Vì còn sợ nên H. đã nhờ người phụ xe xuống nói chuyện và cầm tiền trả hộ cho lái xe Grab. Sau đó, cô may mắn gặp được một người chạy xe ôm đi qua và chở về nhà. “Vừa về nhà được một lúc, em nhận được cuộc gọi từ một số máy lạ. Đầu dây bên kia chính là lái xe Grab đã sàm sỡ em. Chú ta nói rằng xin lỗi, và giải thích hành động của mình là do… nhìn em thích quá. Em vẫn còn sợ nên đã dập máy ngay!”, H. chia sẻ. Sau đó, nữ sinh này đã phản hồi tới tổng đài hỗ trợ của dịch vụ Grab, và được hứa hẹn sẽ giải quyết triệt để. Tuy nhiên, sau cuộc gọi xác nhận đã tiếp thu thông tin vào tối ngày 23-8, phía Grab vẫn chưa có thêm bất kỳ phản hồi nào đối với nạn nhân. Ngày 25-8, PV đã chủ động liên lạc để ghi nhận thông tin từ phía lái xe D., song người này trả lời ấp úng, ngập ngừng. Sau đó, lái xe này giải thích hành vi ""sờ đùi"" lúc đó là do mở nước cho nữ sinh, bị... trượt tay và đặt vào đùi khách hàng. PV Báo ANTĐ sẽ tiếp tục cập nhật tin tức có liên quan tới sự việc này. Theo Trung Hiếu An ninh thủ đô Tag : nữ sinh viên , sàm sỡ","26-08-2018_07-51-00"
"https://dantri.com.vn/xa-hoi/3-nguoi-thoat-nan-hy-huu-khi-xe-tai-tong-sap-nha-20180826195556948.htm","vi","3 người thoát nạn hy hữu khi xe tải tông sập nhà","Giao thông","Tại hiện trường, xe ô tô tải đâm sập bức tường phía trước nhà ông Đạo. May mắn thời điểm đó, 3 người trong gia đình ông Đạo đang ở gian nhà phía sau nên không có ai bị thương.","Xe tải tông sập nhà dân, 3 người trong gia đình may mắn thoát nạn. Theo đó, lúc 11h20’ ngày 26/8, xe tải BKS 77C-069.62 do tài xế Trần Văn Tám (ở TP Quy Nhơn, Bình Định) điều khiển đã bất ngờ mất lái tông thẳng vào nhà ông Nguyễn Hữu Đạo (ở thôn Quảng Nghiệp, xã Phước Hưng, huyện Tuy Phước). Một số nhân chứng có mặt tại hiện trường cho hay, thời điểm xảy ra tai nạn, ô tô tải BKS 77C-069.62 vừa bốc xong 350 bao gạo từ nhà máy xay xát gạo tại thôn Quảng Nghiệp, di chuyển ra ngoài. Trong lúc quay đầu xe, tài xề bất ngờ bị mất lái tông thẳng vào nhà ông Đạo. Bàn, ghế bị hư hỏng... Tại hiện trường, đầu xe tải đâm sập bức tường phía trước nhà ông Đạo; 2 vách tường hai bên nhà cũng bị vỡ nứt, gãy; nhiều vật dụng trong nhà bị hư hỏng. Đầu xe tải bị nát bét và kẹt cứng ở gian nhà trên. Thân và đuôi xe nằm chắn ngang tỉnh lộ ĐT 636B khiến giao thông qua lại gặp nhiều khó khăn. Vụ tai nạn làm tài xế xe tải bị thương nặng phải đưa đi bệnh viện cấp cứu. Tuy nhiên, may mắn vào thời điểm xảy ra tai nạn, trong nhà ông Đạo có 3 người, nhưng mọi người đều ở gian nhà phía sau nên không ai bị thương. Thân xe tải nằm chắn ngang đường tỉnh lộ ĐT 636B khiến giao thông đi lại gặp khó khăn. Ngay sau khi xảy ra vụ việc, Công an xã Phước Hưng và Đội Cảnh sát giao thông Công an huyện Tuy Phước đã phối hợp khám nghiệm hiện trường, điều tra vụ tai nạn. Doãn Công Tag : xe tải tông sập nhà , 3 người thoát nạn , tỉnh bình định , huyện tuy phước , xã phước hưng , tài xế xe tải","26-08-2018_19-17-00"
"https://dantri.com.vn/giao-thong/hai-vo-chong-thuong-vong-vi-va-cham-voi-xe-dau-keo-20180828111723069.htm","vi","Hai vợ chồng thương vong vì va chạm với xe đầu kéo","Giao thông","Hai vợ chồng đang trên đường về nhà thì xảy ra va chạm với chiếc xe đầu kéo khiến người chồng tử vong tại chỗ, người vợ nguy kịch.","Hiện trường vụ tai nạn Vào khoảng 5h30 sáng nay (28/8) trên quốc lộ 1A, đoạn qua địa phận thôn Thống Nhất, xã Phù Việt, huyện Thạch Hà (Hà Tĩnh) đã xảy ra vụ tai nạn giữa xe máy và xe đầu kéo khiến 2 vợ chồng thương vong. Vào thời điểm trên, anh Hồ Văn Vinh (SN 1977) điều khiển xe máy mang BKS 37L1 - 66371 chở theo vợ là Bùi Thị Lan (SN 1980, đều trú tại thị xã Hoàng Mai, tỉnh Nghệ An) di chuyển theo hướng Nam – Bắc để về nhà. Khi đến địa điểm trên thì xảy ra va chạm với chiếc xe chiếc xe đầu kéo BKS 38N - 2152, kéo theo rơ-moóc BKS 38R-0251 do tài xế Võ Anh Tuấn (SN 1987, trú tại huyện Can Lộc, Hà Tĩnh) điều khiển chạy theo hướng ngược lại. Vụ tai nạn khiến anh Hồ Văn Vinh tử vong tại chỗ, chị Bùi Thị Lan bị thương nặng. Tại hiện trường, chiếc xe máy bị nát phần đầu, còn ô tô bị hỏng chắn an toàn phía sau. Nhận được tin báo, các lực lượng chức năng đã đến hiện trường điều tra, làm rõ nguyên nhân vụ tai nạn. Xuân Sinh Tag : tai nạn xe đầu kéo , tai nạn giao thông","28-08-2018_13-08-00"
"https://dantri.com.vn/xa-hoi/xe-cho-dua-no-lop-tren-cao-toc-gay-tai-nan-lien-hoan-20180828143717546.htm","vi","Xe chở dừa nổ lốp trên cao tốc gây tai nạn liên hoàn","Giao thông","Chiếc xe tải chở dừa đang lưu thông trên đường cao tốc TPHCM - Trung Lương thì bất ngờ bị nổ lốp khiến tài xế mất lái tông vào dải phân cách rồi lật nhào. Ô tô phía sau xe tải thắng gấp khiến 3 xe khác tông đuôi nhau.","Hàng trăm quả dừa lăn lóc đầy đường Theo thông tin ban đầu, vào khoảng 5h sáng nay (28/8), trong lúc xe tải chở dừa BKS 83C-056.39 do tài xế Tăng Văn Ngộ (42 tuổi) ngụ tỉnh Sóc Trăng điều khiển chở dừa trên đường cao tốc TPHCM - Trung Lương theo hướng Tiền Giang về TPHCM. Khi xe vừa đến KM 35 thuộc xã Lợi Bình Nhơn, TP Tân An, tỉnh Long An thì bất ngờ bị nổ lốp sau, sau đó xe tông vào dải phân cách lật nhào. Sau khi xe tải bị nổ lốp, xe 7 chỗ BKS 63A-042.17 do tài xế Bùi Thanh Sơn (42 tuổi) ngụ huyện ChâuThành, tỉnh Tiền Giang điều khiển đi cùng chiều phía sau phải thắng gấp. Xe bán tải BKS 51D-164.08 đi phía sau không kịp xử lý tông vào đuôi xe 7 chỗ. Một xe 7 chỗ khác BKS 68A-035.16 tông tiếp vào đuôi xe bán tải gây nên TNGT liên hoàn. Rất may vụ tai nạn không gây thiệt hại về người nhưng đã làm cho 4 xe ô tô hư hỏng. Vụ tai nạn khiến 2 xe ô tô khác bị hư hỏng nặng Nhận được tin báo, Đội CSGT quản lý đường cao tốc và đơn vị quản lý cao tốc đã có mặt điều tiết giao thông điều tra nguyên nhân vụ tai nạn. Do xe bị nạn nằm chắn hết 1 làn đường nên phương tiện bị ùn ứ kéo dài. Đến 9h sáng cùng ngày hiện trường mới được giải quyết xong. Nguyễn Vinh Tag : xe tải nổ lốp , Tai nạn liên hoàn","28-08-2018_15-12-00"
"https://dantri.com.vn/xa-hoi/no-luc-thong-tuyen-cao-toc-da-nang-quang-ngai-dip-quoc-khanh-2-9-20180830155649346.htm","vi","Nỗ lực thông tuyến cao tốc Đà Nẵng  Quảng Ngãi dịp Quốc khánh 29","Giao thông","Chủ đầu tư dự án đường cao tốc Đà Nẵng - Quảng Ngãi cho biết, hiện khối lượng công việc để hoàn thành toàn bộ dự án đã gần xong. Các công tác làm nguội, rửa đường… đang khẩn trương để thông xe toàn tuyến vào dịp Quốc khánh 2/9 đến.","Sáng 30/8, chủ đầu tư dự án cao tốc Đà Nẵng – Quảng Ngãi là Tổng Công ty đầu tư phát triển đường cao tốc Việt Nam (VEC) đã tổ chức họp báo thông báo sẽ thông xe toàn tuyến dự án xây dựng đường cao tốc Đà Nẵng – Quảng Ngãi vào dịp Quốc khánh 2/9 năm nay. VEC họp báo công bố thông tin thông xe tuyến cao tốc Đà Nẵng – Quảng Ngãi nhân dịp Quốc khánh 2/9/2018 Ông Trần Văn Tám – Tổng Giám đốc VEC – cho biết, dự án cao tốc Đà Nẵng – Quảng Ngãi là dự án trọng điểm quốc gia, là dự án đường bộ cao tốc đầu tiên của khu vực miền Trung do VEC làm chủ đầu tư, quản lý khai thác. “Việc hoàn thành và đưa dự án vào khai thác không chỉ góp phần hoàn thiện tuyến đường bộ cao tốc Bắc - Nam mà quan trọng hơn là đánh thức tiềm năng, thúc đẩy liên kết giao thương và phát triển kinh tế - xã hội khu vực phía Tây tuyến đường từ TP Đà Nẵng qua các tỉnh Quảng Nam và Quảng Ngãi”, ông Trần Văn Tám cho biết. Tuyến cao tốc Tam Kỳ - Quảng Ngãi đã hoàn thiện tuyến chính Dự án đường cao tốc Đà Nẵng – Quảng Ngãi được khởi công ngày 19/5/2013 đi qua các tỉnh, thành Đà Nẵng (7,9km), Quảng Nam (91,2km) và Quảng Ngãi (40,1km). Dự án có tổng chiều dài toàn tuyến hơn 139km; trong đó tuyến cao tốc có chiều dài hơn 131km, đoạn nối tuyến cao tốc với QL1A có chiều dài 7,7km. Dự án được chia thành 13 gói thầu xây lắp chính với tổng mức đầu tư (giai đoạn 1) tương đương hơn 34,5 nghìn tỉ đồng; trong đó vốn vay của Ngân hàng thế giới hơn 12,4 nghìn tỉ đồng và vốn vay của Cơ quan hợp tác quốc tế Nhật Bản (JICA) hơn 16,7 nghìn tỉ đồng, còn lại là vốn đối ứng của Nhà nước. Xe múc đang khẩn trương hoàn thiện lề đường Tháng 8/2017, đoạn tuyến hợp phần (vốn vay của JICA) từ Km0+00 đến Km65+000 (từ Túy Loan, Đà Nẵng vào TP Tam Kỳ, Quảng Nam) đã được thông xe kỹ thuật và đưa vào khai thác. Sau hơn 1 năm vận hành, tuyến đã phục vụ 720 nghìn lượt phương tiện an toàn và thông suốt. Đoạn tuyến từ TP Tam Kỳ (Quảng Nam) đến Quảng Ngãi sẽ được thông xe vào dịp Quốc khánh 2/9/2018. Chủ đầu tư cho biết, sau khi thông xe kỹ thuật sẽ đưa vào vận hành ngay vì mọi việc đã hoàn thành để vận hành an toàn tuyến cao tốc. Nếu không đưa vào vận hành ngay sẽ gây lãng phí đoạn tuyến từ Đà Nẵng vào Tam Kỳ, nhất là phải nhanh chóng thu hồi vốn cho ngân sách nhà nước. Các công nhân vệ sinh mặt đường VEC cũng công bố mức thu phí trên toàn tuyến cho từng loại xe. Theo đó, xe dưới 12 chỗ ngồi, xe tải dưới 2 tấn, xe buýt công cộng có mức thu từ 20-180 ngàn đồng tùy theo đoạn đường sử dụng. Xe tải từ 18 tấn trở lên, xe chở hàng container 40 feet mức phí từ 80-790 ngàn đồng tùy theo chặng đường sử dụng. Theo quan sát của PV, sáng 30/8, trên tuyến từ TP Tam Kỳ vào Quảng Ngãi, nhiều tốp công nhân đang khẩn trương dọn dẹp vệ sinh mặt đường, hoàn thiện những phần việc cuối cùng để đảm bảo thông xe vào ngày 2/9 này. Hiện hộ lan can mềm trên toàn tuyến đã được đóng, đảm bảo không cho xe máy, xe đạp hay súc vật có thể di chuyển tự do trên tuyến. Tuy nhiên, hiện hàng rào ngăn trâu, bò, gia súc trong hành lang tuyến mới chỉ hoàn thành 85km. Đại diện chủ đầu tư cho biết, khoảng 50km còn lại sẽ được rào lại hết từ nay đến ngày 31/10/2018. Về xử lý những tồn tại trên tuyến cao tốc mà Bộ trưởng GTVT Nguyễn Văn Thể chỉ ra khi đi kiểm tra tuyến vào ngày 2/8, ông Trần Văn Tám cho biết, hiện công tác khắc phục đã hoàn chỉnh và ngày 28/8, Hội đồng nghiệm thu Nhà nước đã kiểm tra và chứng nhận để thông xe. C.Bính Tag : Thông tuyến cao tốc Đà Nẵng Quảng Ngãi , đường bộ cao tốc , Đà Nẵng - Quảng Ngãi","30-08-2018_16-13-00"
"https://dantri.com.vn/xa-hoi/cao-toc-ha-noi-ha-long-rut-ngan-thoi-gian-chay-xe-nhu-the-nao-20180831093634037.htm","vi","Cao tốc Hà Nội  Hạ Long rút ngắn thời gian chạy xe như thế nào","Giao thông","Ngày 1/9, cụm công trình giao thông gồm cao tốc Hạ Long - Bạch Đằng và cầu Bạch Đằng sẽ chính thức được thông xe, kết nối Quảng Ninh với Hải Phòng - khu vực trọng điểm kinh tế phía Bắc. Tuyến cao tốc Hạ Long - Bạch Đằng nối với cao tốc Hà Nội - Hải Phòng rút giảm thời gian di chuyển Hà Nội - Hạ Long từ 3,5 tiếng xuống còn 1,5 tiếng.","Ngọc Diệp - Như Quỳnh Tag : Hà Nội - Hải Phòng , cao tốc hạ long - bạch đằng","31-08-2018_09-35-00"
"https://dantri.com.vn/xa-hoi/xu-ly-nghiem-tai-xe-grab-bike-vua-lai-xe-vua-xem-dien-thoai-tim-khach-20180831112605014.htm","vi","Xử lý nghiêm tài xế Grab bike vừa lái xe vừa xem điện thoại tìm khách","Giao thông","Đó là yêu cầu của Ủy ban An toàn giao thông Quốc gia trước tình trạng lái xe Grab bike vừa điều khiển phương tiện vừa sử dụng điện thoại di động để liên hệ với khách, tìm địa chỉ, vi phạm quy định, uy hiếp an toàn của người và phương tiện lưu thông trên đường.","Tài xế Grab bike sử dụng điện thoại khi lái xe để tìm khách (ảnh: VTC News) Theo cơ quan này, sau một thời gian hoạt động, nhằm đáp ứng nhu cầu thực tiễn của người dân về tiết kiệm thời gian và chi phí giao dịch, cũng như xu hướng sử dụng thiết bị di động thông minh đang rất phổ biến hiện nay, ứng dụng đặt xe mô tô, xe máy (xe ôm công nghệ) đang thu hút đông đảo người dân sử dụng cũng như các lái xe đăng kí tham gia, đặc biệt là Grab Bike của công ty Trách nhiệm Hữu hạn Grab. Tuy nhiên hiện nay, tình trạng lái xe Grab bike vừa điều khiển phương tiện vừa sử dụng điện thoại di động để liên hệ với khách, tìm địa chỉ,… diễn ra rất phổ biến. Đây là hành vi vi phạm quy định của pháp luật về trật tự an toàn giao thông, uy hiếp an toàn của người và phương tiện lưu thông trên đường. Để khắc phục và chấn chỉnh tình trạng trên, Ủy ban An toàn giao thông Quốc gia đề nghị Ban ATGT thành phố Hà Nội, TPHCM chỉ đạo lực lượng chức năng tăng cường tuần tra kiểm soát phát hiện và xử lý nghiêm tình trạng sử dụng điện thoại di động khi điều khiển mô tô, xe gắn máy tham gia giao thông. Đặc biệt là đối với các lái xe mô tô, xe gắn máy sử dụng điện thoại thông minh để kết nối với khách hàng. Ủy ban An toàn giao thông Quốc gia yêu cầu Công ty Trách nhiệm Hữu hạn Grab tăng cường tuyên truyền trật tự an toàn giao thông cho các đối tác là lái xe tham gia cung ứng dịch vụ vận tải của công ty, đặc biệt yêu cầu các lái xe mô tô, xe gắn máy tham gia ứng dụng Grab bike của công ty tuyệt đối không sử dụng điện thoại di động khi lái xe, xem xét chấm dứt hợp đồng với những lái xe cố tình vi phạm. C.N.Q Tag : Grab bike , xử phạt tài xế , sử dụng điện thoại khi lái xe","31-08-2018_13-00-00"
