"url","lang","title","category","intro","content","time"
"http://www.nhandan.com.vn/xahoi/giao-thong/item/37471002-cong-bo-cac-so-dien-thoai-%E2%80%9Cnong%E2%80%9D-ve-an-toan-giao-thong-dip-2-9.html","vi","Công bố các số điện thoại nóng về an toàn giao thông dịp 29","Giao thông","NDĐT - Ngày 30-8, Ủy ban An toàn giao thông (ATGT) quốc gia cho biết, theo chỉ đạo của Thủ tướng Chính phủ về bảo đảm trật tự, an toàn giao thông dịp Quốc khánh 2-9 và khai giảng năm học mới 2018 - 2019, Ủy ban ATGT quốc gia thông báo hệ thống số điện thoại “đường dây nóng” để tiếp nhận các ý kiến phản ánh của người dân về hoạt động vận tải, tình hình trật tự ATGT.","Theo đó, phản ánh về xử lý vi phạm hành chính trong lĩnh vực giao thông đường bộ, đường sắt, đường thủy nội địa; tình hình trật tự ATGT, ùn tắc giao thông, người dân có thể liên hệ: Cục Cảnh sát giao thông – 0995.67.67.67 ; 0692.342.608. ​Phản ánh các thông tin về lĩnh vực giao thông đường bộ: 0983.60.8989 (Vụ Vận tải – Tổng cục Đường bộ Việt Nam); 0916.60.8085. (Vụ ATGT – Tổng cục Đường bộ Việt Nam); 0903.479.808 (Vụ Kết cấu hạ tầng đường bộ – Tổng cục Đường bộ Việt Nam); 0915.90.8085. (Thanh tra – Tổng cục đường bộ Việt Nam); 0915.86.9900 (Kiểm soát tải trọng xe – Tổng cục Đường bộ Việt Nam); 0964.045.445. (Vụ Vận tải – Bộ Giao thông vận tải -GTVT); 0962.665.953 (Thanh tra – Bộ GTVT). ​Để phản ánh và được giải đáp trong lĩnh vực đường sắt, liên hệ số: 0865367565 (Cục Đường sắt Việt Nam). ​Để phản ánh và được giải đáp những thông tin liên quan lĩnh vực hàng không, liên hệ theo số: 0916.562.119. ​Để phản ánh và được giải đáp những thông tin liên quan đến lĩnh vực đường thủy nội địa, liên hệ các số: 0243.5481888, 0942.10.74.74. Phản ánh về tình hình trật tự ATGT, tai nạn giao thông, liên hệ các số: 0977.497.891 (Vụ ATGT – Bộ GTVT); 0989.088.719 (Văn phòng Ủy ban ATGT QG); 0981.759.328, 0941.329.634, 0936.198.387 (Văn phòng Ủy ban ATGT QG). Ủy ban ATGT quốc gia đề nghị người tham gia giao thông khi phản ánh tới đường dây nóng cần có đầy đủ thông tin: hành trình, địa điểm, BKS phương tiện, số hiệu chuyến bay, thời gian, lỗi vi phạm hoặc vấn đề gây mất trật tự an toàn giao thông, ưu tiên dùng tin nhắn để bảo đảm chính xác, thuận tiện và an toàn.","30-08-2018_10-02-16"
"http://www.nhandan.com.vn/xahoi/giao-thong/item/37471702-du-kiem-tra-nhung-ben-pha-tu-phat-o-hai-hat-van-ngang-nhien-hoat-dong.html","vi","Dù kiểm tra nhưng bến phà tự phát ở Hai Hạt vẫn ngang nhiên hoạt động","Giao thông","NDĐT – Sáng 30-8, Phó giám đốc Sở Giao thông vận tải (GTVT) tỉnh Cà Mau Lê Thành Huấn cho biết: Vừa có công văn chỉ đạo Thanh tra Sở phối hợp Đội Thanh tra-An toàn số 8 chủ động kiểm tra, xử lý vi phạm tại vị trí bến Hai Hạt-An Phúc trên tuyến sông Gành Hào đối với trường hợp ông Nguyễn Văn Út (đơn vị đưa phà ở ấp Thuận Lợi, xã Tân Đức, huyện Đầm Dơi, tỉnh Cà Mau)…","Theo lời ông Huấn, chỉ cần ông Út vi phạm đưa phà không đúng vị trí và bị lập biên bản xử phạt một lần nữa thôi, cơ quan chức năng tỉnh Cà Mau sẽ có đủ cơ sở để rút phép hoạt động bến của ông Út. Trước tình hình vi phạm kéo dài tại vị trí bến Hai Hạt-An Phúc, cuối tháng 7-2018 vừa qua, Sở GTVT Bạc Liêu có công văn (1069/SGTVT-QLGT) đề nghị Sở GTVT Cà Mau rút giấy phép hoạt động bến đã cấp trước đó cho ông Út. Nội dung công văn nêu rõ: Ông Nguyễn Văn Út hoạt động phương tiện rước khách qua đầu bến phía Bạc Liêu không đúng với vị trí đã được cơ quan chức năng cấp phép mà đưa qua bến do ông tự ý xây dựng trái phép. Vị trí này đã bị các lực lượng chức năng tỉnh Bạc Liêu nhiều lần kiểm tra, lập biên bản đình chỉ và buộc cam kết ngưng hoạt động nhưng ông Út không chấp hành. Căn cứ Điều 14, Thông tư 50/2014/TT-BGTVT ngày 17-10-2014 của Bộ GTVT, Sở GTVT Bạc Liêu đề nghị Sở GTVT Cà Mau xem xét, chỉ đạo các đơn vị chức năng phối hợp chính quyền địa phương xử lý việc đưa đón khách không đúng vị trí đã được quy hoạch, thống nhất đối lưu giữa hai tỉnh, tránh tình trạng gây mất an toàn giao thông đường thủy nội địa, mất an ninh trật tự địa phương. Nếu ông Út không chấp hành, đề nghị Sở GTVT Cà Mau đình chỉ bến này để bảo đảm tính nghiêm minh của pháp luật. Như NDĐT đã phản ảnh trong những bài viết trước: “Những chuyện xem thường pháp luật ở Cà Mau”, sau một thời gian dài hoạt động không phép, vào cuối năm 2017, ông Út được Sở GTVT Cà Mau cấp giấy phép hoạt động bến khách ở Hai Hạt. Theo giấy phép đã cấp, ông Út chỉ được đưa phà đối lưu từ bến Hai Hạt (xã Tân Đức) qua bến đập Mười Chì (thuộc ấp Chòi Mòi, xã An Phúc, huyện Đông Hải, tỉnh Bạc Liêu) bằng ½ số ngày trong tháng. Số thời gian còn lại thuộc quyền đưa đối lưu của hộ kinh doanh bên phía xã An Phúc (đã được Sở GTVT Bạc Liêu cấp phép hoạt động bến (số 193/GPBKNS) vào ngày 14-12-2017. Tuy nhiên, ông Út không thực hiện chia cử (đối lưu) phía đầu bến đập Mười Chì mà tự ý thuê đất, mở một bến khác gần bến Mười Chì để đưa khách. Mục đích của ông Út nhằm độc chiếm toàn bộ thời gian đưa phà, hưởng trọn quyền lợi về kinh tế. Dù xác định rõ những sai phạm của ông Út nhưng gần một năm nay, việc xử lý hành vi sai trái nêu trên vẫn chưa đến nơi, đến chốn. Trong việc trên, “quả bóng” trách nhiệm đã bị đùn đẩy giữa chính quyền và cơ quan chức năng hai tỉnh Cà Mau và Bạc Liêu. Việc xử lý thiếu kiên quyết đã tạo tiền lệ xấu, vô tình cổ súy cho những công dân cá biệt càng ngày càng nhởn nhơ và xem thường luật pháp, và ít nhiều đã làm sa sút lòng tin của nhân dân đối với cơ quan và lực lượng thực thi công vụ. Bởi theo dẫn chứng của người dân địa phương, trong năm 2017, gần vị trí bến của ông Út có một bến khách khác của gia đình ông Đặng Ô Rê (ngụ ấp Thuận Lợi A, xã Tân Thuận, huyện Đầm Dơi). Sau khi thực hiện di dời bến về vị trí mới (theo điều chỉnh quy hoạch bến của tỉnh Cà Mau), gia đình ông Ô Rê đưa khách ế ẩm, sau đó tự ý tái chiếm vị trí bến cũ (nằm sát cống Hai Hạt). Phát hiện hành vi sai phạm trên, chỉ sau vài ngày, cơ quan chức năng phía Cà Mau đã thực hiện cưỡng chế, rào bến đối với gia đình ông Ô Rê. Từ động thái kiên quyết nêu trên, người dân đặt dấu chấm hỏi: Có thế lực nào ngấm ngầm “chống lưng” hay tiếp tay không mà gia đình ông Út đưa sai vị trí (không đúng với giấy phép được cấp) cả năm nay nhưng vẫn bình an vô sự? Phải chăng, “phép vua” chịu thua gia đình ông Út…? Sáng 30-8, phóng viên đặt câu hỏi với Chánh thanh tra Sở GTVT Cà Mau Bùi Quốc Thái về việc vì sao gần một tháng qua chưa tiến hành kiểm tra theo chỉ đạo của Giám đốc Sở GTVT Cà Mau tại vị trí bến Hai Hạt-An Phúc đối với hộ ông Nguyễn Văn Út. Ông Thái cho biết: Do bận nhiều công việc và phải cử lực lượng xuống địa bàn nắm tình hình nên hai ngày trước mới liên hệ với Đội Thanh tra An toàn số 8 - đơn vị quản lý đường sông do T.Ư quản lý. “Phía lãnh đạo đội bên đó nói kẹt đi công tác ở tỉnh Đồng Tháp, sẽ thực hiện việc phối hợp Cà Mau và Bạc Liêu kiểm tra, xử lý vi phạm tại vị trí bến Hai Hạt-An Phúc sau khi qua lễ Quốc khánh 2-9” – ông Thái nói. Trong khi đó, thông tin và hình ảnh mà người dân cung cấp cho chúng tôi vào sáng cùng ngày cho thấy, gia đình ông Út vẫn ngang nhiên đưa phà sai vị trí nhưng không thấy bóng dáng của lực lượng chức năng. Chúng tôi sẽ tiếp tục thông tin vụ việc trên, đồng thời đề nghị cơ quan chức năng Cà Mau, Bạc Liêu sớm xử lý dứt điểm tình trạng bến khách tự phát ở Hai Hạt-An Phúc, giữ gìn kỷ cương phép nước và thượng tôn pháp luật. * Cần xử lý dứt điểm bến phà hoạt động trái phép ở Cà Mau * Cà Mau chỉ đạo nóng vụ phà, lộ ở Hai Hạt * Những chuyện coi thường pháp luật ở Cà Mau (Kỳ 2) * Những chuyện coi thường pháp luật ở Cà Mau (Kỳ 1)","30-08-2018_12-02-49"
"http://www.nhandan.com.vn/xahoi/giao-thong/item/37472402-ngay-2-9-thong-xe-toan-tuyen-cao-toc-da-nang-quang-ngai.html","vi","Ngày 29 thông xe toàn tuyến cao tốc Đà Nẵng  Quảng Ngãi","Giao thông","NDĐT - Ngày 30-8, tại TP Tam Kỳ (Quảng Nam), Tổng Công ty Đầu tư phát triển đường cao tốc Việt Nam thông báo sẽ tổ chức thông xe toàn tuyến cao tốc Đà Nẵng - Quảng Ngãi vào ngày 2-9 tới.","Tại buổi họp báo, Tổng Giám đốc Tổng Công ty Đầu tư phát triển đường cao tốc Việt Nam Trần Văn Tám cho biết, Dự án xây dựng đường cao tốc Đà Nẵng - Quảng Ngãi khởi công ngày 15-9-2013, đi qua địa phận các tỉnh, thành phố: Đà Nẵng, Quảng Nam và tỉnh Quảng Ngãi; tổng chiều dài toàn tuyến gần 140 km; trong đó tuyến cao tốc có chiều dài 131,5 km, đoạn nối tuyến cao tốc với quốc lộ 1A có chiều dài 7,7 km. Dự án gồm 13 gói thầu xây lắp chính, với tổng mức đầu từ (giai đoạn 1) là hơn 1,6 tỷ USD. Tuyến chính cao tốc được thiết kế theo tiêu chuẩn kỹ thuật đường cao tốc loại A, quy mô giai đoạn một bốn làn xe; tốc độ thiết kế 120 km/giờ; bề rộng nền đường 24,25m… Dự án thi công 151 hầm chui dân sinh, 168 cống hộp thoát nước và 281 cống tròn; tám trạm thu phí kín trên tuyến đường và ba trạm dừng nghỉ. Việc đưa tuyến cao tốc Đà Nẵng - Quảng Ngãi vào hoạt động sẽ rút ngắn khoảng cách và thời gian đi lại giữa các trung tâm kinh tế của Vùng kinh tế trọng điểm miền trung, các khu công nghiệp của Đà Nẵng, Quảng Nam, Quảng Ngãi; góp phần phân luồng giao thông hiệu quả để kết nối vận chuyển quốc tế trong khu vực tam giác kinh tế Việt Nam - Lào - Campuchia qua hành hang kinh tế Đông - Tây đến các cảng biển miền trung Việt Nam. Đồng thời, góp phần giảm thiểu tai nạn giao thông, bảo đảm giao thông thuận lợi...","30-08-2018_14-38-33"
"http://www.nhandan.com.vn/xahoi/giao-thong/item/37486202-con-co-da-co-tau-cao-toc-dua-khach-ra-dao.html","vi","Cồn Cỏ đã có tàu cao tốc đưa khách ra đảo","Giao thông","NDĐT - Ngày 31-8, UBND huyện đảo Cồn Cỏ, tỉnh Quảng Trị và Công ty TNHH MTV 189 (Bộ Quốc phòng) tổ chức lễ bàn giao, đưa vào sử dụng tàu vận chuyển hành khách ra đảo Cồn Cỏ.","Tàu cao tốc Cồn Cỏ Tourist mang số hiệu QT 00666 được đóng mới hoàn toàn với tổng kinh phí 24,1 tỷ đồng. Tàu có vỏ và ca-bin bằng hợp kim nhôm, chiều dài 27,5 m, chiều rộng 5,5 m, chiều cao mạn 2,5 m, công suất 1.200 mã lực, tốc độ tối đa 25 hải lý/giờ. Tàu Cồn Cỏ Tourist có thể chở 80 hành khách cùng biên chế năm thuyền viên và hoạt động trong điều kiện gió cấp năm. Việc đưa vào khai thác tàu cao tốc Cồn Cỏ Tourist không chỉ đáp ứng tốt nhu cầu đi lại của cán bộ, lực lượng vũ trang và nhân dân huyện đảo mà còn tạo điều kiện quan trọng để địa phương đưa du lịch trở thành ngành kinh tế mũi nhọn, góp phần tích cực vào phát triển kinh tế - xã hội gắn với củng cố quốc phòng - an ninh huyện đảo.","31-08-2018_17-16-59"
"http://www.nhandan.com.vn/xahoi/giao-thong/item/37486402-bi-cuon-vao-gam-xe-tai-ben-hai-nguoi-di-xe-may-tu-vong.html","vi","Bị cuốn vào gầm xe tải ben hai người đi xe máy tử vong","Giao thông","NDĐT - Khoảng 15 giờ 30 phút ngày 31-8, một vụ tai nạn giao thông nghiêm trọng đã xảy ra trên đường ĐT 768, thuộc địa phận xã Bình Hòa, huyện Vĩnh Cửu, tỉnh Đồng Nai, khiến hai người đi xe máy tử vong.","Theo thông tin ban đầu, vào thời gian nêu trên, xe tải ben BKS 60C- 42641 đang lưu thông trên đường ĐT 768 hướng huyện Vĩnh Cửu đi TP Biên Hòa. Khi đến đoạn trước cổng UBND xã Bình Hòa, lái xe tải không làm chủ được tốc độ cho nên xe tải đã va chạm và cuốn hai người điều khiển hai xe máy biển số 60AA-00058 và 78C1-24373 vào gầm. Chưa dừng lại ở đó, xe tải ben tiếp tục lao về phía lề đường bên trái, tông gãy đôi trụ đèn chiếc sáng. Hậu quả, hai người đi xe máy (chưa rõ danh tính), bị cuốn vào gầm xe tải ben dẫn đến tử vong. Lái xe tải ben nhanh chóng rời khỏi hiện trường. Nhận được tin báo, lực lượng cảnh sát giao thông Công an huyện Vĩnh Cửu, công an, dân quân xã Bình Hòa đã nhanh chóng có mặt, khám nghiệm hiện trường, điều tra nguyên nhân vụ tai nạn và điều tiết giao thông qua khu vực trên. Theo một số người dân chứng kiến vụ việc, vào thời điểm xảy ra tai nạn, chiếc xe tải ben chạy với tốc độ rất nhanh, lái xe không làm chủ tốc độ cho nên đã gây ra tai nạn. Đáng nói, đây không phải lần đầu xe tải ben đâm chết người trên tuyến đường này, do đó nhiều người dân tỏ ra rất bức xúc khi tiếp tục chứng kiến vụ tai nạn nghiêm trọng như vậy. Đề nghị các cơ quan liên quan của huyện Vĩnh Cửu và tỉnh Đồng Nai cần tăng cường kiểm tra, chấn chỉnh bảo đảm an toàn giao thông cho các phương tiện và người dân sống hai bên tuyến đường.","31-08-2018_17-34-21"
"http://www.nhandan.com.vn/xahoi/giao-thong/item/37493302-lien-quan-viec-thuc-hien-hop-dong-mua-ban-quyen-thu-phi-su-dung-duong-cao-toc-tp-ho-chi-minh-trung-luong.html","vi","Liên quan việc thực hiện hợp đồng mua bán quyền thu phí sử dụng đường cao tốc TP Hồ Chí Minh  Trung Lương","Giao thông","Thực hiện nhiệm vụ Bộ Giao thông vận tải (GTVT) giao, ngày 30-12-2013, Tổng công ty Ðầu tư phát triển và quản lý dự án hạ tầng giao thông (Tổng công ty Cửu Long) đã ký Hợp đồng số 4746/CIPM-HÐ về việc mua bán quyền thu phí sử dụng đường bộ đường cao tốc TP Hồ Chí Minh - Trung Lương (giai đoạn 1) với Công ty TNHH Dịch vụ - thương mại - sản xuất Yên Khánh, nay là Công ty cổ phần Tập đoàn Yên Khánh (Công ty Yên Khánh) với giá 2.004 tỷ đồng. Hợp đồng có thời hạn thu phí 5 năm, kể từ 0 giờ ngày 1-1-2014, kết thúc 24 giờ ngày 31-12-2018.","Theo quy định của hợp đồng, Công ty Yên Khánh phải nộp ngân sách nhà nước (NSNN) đủ số tiền bán quyền thu phí 2.004 tỷ đồng trong ba đợt và kết thúc nộp đợt cuối vào tháng 10-2014. Tuy nhiên, trên thực tế Công ty Yên Khánh đã nộp 15 đợt và kết thúc đợt cuối ngày 31-3-2017, quá hạn so với hợp đồng hai bên đã ký hơn hai năm. Vì vậy, theo Tổng công ty Cửu Long, Công ty Yên Khánh đã vi phạm hợp đồng và phải chịu mức phạt do chậm thanh toán tại hợp đồng mua bán quyền thu phí đường cao tốc TP Hồ Chí Minh - Trung Lương 264 tỷ đồng. Ðể thu hồi số tiền nêu trên, Tổng công ty Cửu Long đã ra nhiều văn bản yêu cầu Công ty Yên Khánh thanh toán tiền phạt. Ðồng thời, Bộ Giao thông vận tải (GTVT) có Văn bản 8258/BGTVT-TC ngày 30-7-2018 yêu cầu Tổng công ty Cửu Long khẩn trương thu hồi số tiền phạt chậm thanh toán của Yên Khánh hơn 100 tỷ đồng. Căn cứ điều khoản của hợp đồng mua bán quyền thu phí và quy định của pháp luật, Bộ GTVT giao Tổng công ty Cửu Long phối hợp Tổng cục Ðường bộ Việt Nam thu hồi kịp thời, đầy đủ số tiền còn lại từ Công ty Yên Khánh (sau khi đã tịch thu giá trị bảo đảm thực hiện Hợp đồng). Thực hiện ý kiến chỉ đạo của Bộ GTVT, ngày 30-7 vừa qua, Tổng công ty Cửu Long đã có văn bản yêu cầu ngân hàng BIDV - Chi nhánh Thành Ðô thanh toán toàn bộ giá trị bảo đảm thực hiện hợp đồng 100 tỷ đồng. Ngày 1-8, Tổng cục trưởng Ðường bộ Việt Nam tổ chức họp, yêu cầu Công ty Yên Khánh phải nộp kinh phí phạt chậm do vi phạm hợp đồng trước ngày 25-8. Nếu Công ty Yên Khánh không thực hiện, Tổng cục sẽ báo cáo Bộ GTVT thu hồi quyền thu phí và giao Tổng công ty Cửu Long thu phí sử dụng đường bộ từ ngày 1-9-2018 để thu hồi số tiền phạt hợp đồng bán quyền thu phí. Tuy nhiên đến nay, Công ty Yên Khánh vẫn không thanh toán và tiến hành kiện Tổng công ty Cửu Long ra tòa án, yêu cầu thực hiện biện pháp khẩn cấp. Ðại diện Tổng công ty Cửu Long cho rằng, đơn vị này bất ngờ khi nhận được Quyết định áp dụng biện pháp khẩn cấp tạm thời của Tòa án nhân dân (TAND) quận Bình Thạnh, TP Hồ Chí Minh và Quyết định của Chi cục Thi hành án dân sự quận Bình Thạnh, TP Hồ Chí Minh về việc áp dụng biện pháp khẩn cấp tạm thời đối với Tổng công ty Cửu Long. Trong đó, áp dụng biện pháp khẩn cấp tạm thời gồm: Tổng công ty Cửu Long không được có hành vi cản trở thu phí tại bốn trạm thu phí cao tốc TP Hồ Chí Minh - Trung Lương đối với Công ty Yên Khánh, theo hợp đồng các bên đã ký cho đến 0 giờ ngày 1-1-2019; tạm ngừng cưỡng chế thu hồi số tiền bảo lãnh hơn 100 tỷ đồng của Yên Khánh nộp tại BIDV - chi nhánh Thành Ðô cho đến khi có quyết định của Tòa án. Không đồng tình với quyết định áp dụng biện pháp khẩn cấp tạm thời của TAND quận Bình Thạnh, Tổng công ty Cửu Long đã làm đơn khiếu nại gửi đến TAND quận Bình Thạnh và Viện Kiểm sát nhân dân quận Bình Thạnh, đề nghị TAND quận Bình Thạnh thu hồi quyết định áp dụng biện pháp khẩn cấp tạm thời đối với Tổng công ty Cửu Long để có thể triển khai thực hiện được các giải pháp thu hồi tiền phạt, nộp ngân sách nhà nước, tránh thất thoát. Ngoài ra, Tổng công ty Cửu Long cũng đánh giá, hiện nay quyết định áp dụng biện pháp khẩn cấp tạm thời của TAND quận Bình Thạnh đối với Tổng công ty Cửu Long sẽ gây thiệt hại đặc biệt nghiêm trọng đến quyền lợi của Nhà nước tại hợp đồng này và có nguy cơ dẫn đến thất thoát ngân sách nhà nước do Công ty Yên Khánh không thực hiện đúng quy định của hợp đồng như nêu trên.","01-09-2018_09-26-41"
"http://www.nhandan.com.vn/xahoi/giao-thong/item/37493602-un-u-tai-mot-so-tuyen-duong-cua-ngo-ha-noi.html","vi","Ùn ứ tại một số tuyến đường cửa ngõ Hà Nội","Giao thông","Chiều 31-8, nhiều người dân bắt đầu về quê để nghỉ lễ dịp 2-9, khiến mật độ giao thông gia tăng tại các trục đường chính trong nội đô và các tuyến đường cửa ngõ Thủ đô.","Từ khoảng 16 giờ chiều, mật độ phương tiện tham gia giao thông đã bắt đầu ""nóng"" lên so với những ngày bình thường. Tại đường Phạm Hùng hướng đi cầu Thăng Long, đoạn qua bến xe Mỹ Ðình, các dòng phương tiện nối đuôi nhau nhích từng mét một. Ðến chiều tối, tại một số tuyến cửa ngõ như Phạm Văn Ðồng, Giải Phóng, Nguyễn Xiển, phương tiện rất đông, tuy nhiên, nhờ sự điều tiết của lực lượng chức năng cho nên các phương tiện có thể di chuyển chậm. Phòng Cảnh sát giao thông đường bộ và đường sắt (CSGT) Công an TP Hà Nội, đã tăng cường lực lượng tuần tra, kiểm soát xử lý các trường hợp xe khách dừng đỗ, đón trả khách sai quy định, gây cản trở giao thông. Nhằm ngăn chặn các tình trạng ùn ứ giao thông liên quan đến xe khách chạy vòng vo để bắt khách, đơn vị đã bố trí lực lượng mật phục, tổ chức ghi hình, bắn tốc độ đối với các phương tiện cố tình vi phạm. Lãnh đạo Ðội CSGT số 6 cho biết, trong chiều 31-8, qua tuần tra, kiểm soát các lực lượng chức năng đã tiến hành xử lý hơn 10 trường hợp xe khách vi phạm, chủ yếu là xe dừng, đỗ, đón, trả khách sai quy định và chạy dưới tốc độ tối thiểu (dưới 30km/giờ). Tại các bến xe, lượng hành khách cũng tăng cao, tuy nhiên không quá căng thẳng. Giám đốc Công ty cổ phần Bến xe Hà Nội Nguyễn Anh Toàn cho biết, đơn vị huy động hơn 300 lượt xe tăng cường cho những ngày cao điểm trước và sau kỳ nghỉ lễ 2-9. Cùng với việc phân luồng và tổ chức giao thông, các lực lượng chức năng của TP Hà Nội phối hợp các bến xe, yêu cầu các doanh nghiệp cam kết thực hiện nghiêm chỉnh các quy định của bến xe, không chở quá tải, không ép khách và không tự ý nâng giá vé.","01-09-2018_09-17-42"
"http://www.nhandan.com.vn/xahoi/giao-thong/item/37501802-lap-ke-hoach-nang-cap-15-cang-hang-khong.html","vi","Lập kế hoạch nâng cấp 15 cảng hàng không","Giao thông","","Hiện, ACV đang rà soát, lập kế hoạch, cân đối nguồn vốn để đầu tư, nâng cấp 15 CHK trọng điểm, ước tính hơn 56.700 tỷ đồng bằng vốn tích lũy từ hoạt động kinh doanh của ACV (chưa kể CHK Long Thành). Ngoài ra, cần hơn 20.700 tỷ đồng đầu tư cho các dự án trong khu bay bằng nguồn vốn tích lũy từ hoạt động kinh doanh khu bay. Theo đó, nâng cấp chín CHK quốc tế: Tân Sơn Nhất, Nội Bài, Đà Nẵng, Chu Lai, Phú Bài, Cát Bi, Phú Quốc, Cam Ranh, Vinh; bốn CHK: Liên Khương, Tuy Hòa, Côn Đảo, Đồng Hới; xây dựng mới Nhà ga hành khách CHK: Điện Biên, Nà Sản, Lào Cai. Riêng CHK quốc tế Long Thành, tổng vốn đến năm 2025 (các hạng mục do ACV đầu tư) hơn 92.100 tỷ đồng. Dự báo, đến năm 2021, sản lượng hành khách thông qua các cảng do ACV quản lý, khai thác đạt khoảng 137 triệu lượt, tốc độ tăng trưởng bình quân 10%/năm. Đến năm 2025, sản lượng đạt khoảng 185 triệu lượt khách, tốc độ tăng trưởng bình quân 7%/năm.","02-09-2018_04-01-52"
"http://www.nhandan.com.vn/xahoi/giao-thong/item/37504002-tinh-hinh-giao-thong-ngay-dau-nghi-le.html","vi","Tình hình giao thông ngày đầu nghỉ lễ","Giao thông","Ủy ban An toàn giao thông (ATGT) quốc gia cho biết, theo báo cáo của Bộ Công an, trong ngày đầu nghỉ lễ (1-9), lực lượng Cảnh sát giao thông đường bộ đã tổ chức hơn 2.400 lượt tuần tra, kiểm soát, phát hiện hơn 6.300 trường hợp vi phạm, phạt hơn 4,1 tỷ đồng, tạm giữ 1.012 phương tiện, gần 1.250 giấy tờ, tước gần 200 giấy phép lái xe.","Ngày 1-9, đường dây nóng của Ủy ban ATGT quốc gia nhận được 31 cuộc gọi và tin nhắn phản ánh về tình hình trật tự ATGT, chủ yếu phản ánh tình trạng ùn tắc trên một số tuyến đường tại Hà Nội, TP Hồ Chí Minh và trên một số tuyến quốc lộ, một số xe nhồi nhét hành khách, tăng giá vé trái quy định. Sau khi nhận được phản ánh, Ủy ban đã phối hợp các cơ quan chức năng xác minh và xử lý kịp thời. Tại Thủ đô Hà Nội, từ sáng sớm 1-9, các tuyến đường cửa ngõ đều kẹt cứng người và phương tiện. Lượng khách đổ về các bến xe khá đông, xảy ra quá tải ở các bến xe lớn như Giáp Bát, Nước Ngầm. Đường Phạm Hùng qua bến xe Mỹ Ðình bị ùn tắc, phương tiện di chuyển rất chậm. Tình trạng tương tự cũng xảy ra ở các tuyến như Phạm Văn Ðồng, Giải Phóng, Nguyễn Xiển,... Tuy nhiên, nhờ sự điều tiết kịp thời của lực lượng chức năng, giao thông được giải tỏa, không bị ùn tắc kéo dài. Tại TP Hồ Chí Minh, từ chiều 31-8, người dân, sinh viên bắt đầu đổ về các cửa ngõ đi chơi, về quê nhân dịp nghỉ lễ Quốc khánh. Một số tuyến đường cửa ngõ như Xô Viết Nghệ Tĩnh (quận Bình Thạnh) hướng về bến xe miền Đông, Xa lộ Hà Nội, quốc lộ 1,… phương tiện di chuyển chậm nhưng không xảy ra ùn tắc nghiêm trọng. Các bến xe miền Đông, miền Tây, bến phà Cát Lái (hướng về Đồng Nai, Vũng Tàu),… dù lượng phương tiện khá đông nhưng không xảy ra ùn tắc.","02-09-2018_04-01-52"
"http://www.nhandan.com.vn/xahoi/giao-thong/item/37505102-hai-phong-xay-nut-giao-thong-gan-1-500-ty-dong.html","vi","Hải Phòng xây nút giao thông gần 1500 tỷ đồng","Giao thông","NDĐT - Một nút giao thông lập thể khác mức ba tầng hiện đại trị giá gần 1.500 tỷ đồng đã được khởi công xây dựng sáng nay, 2-9, tại Hải Phòng. Đây sẽ là nút giao thông quan trọng phía tây bắc thành phố và là điểm nhấn trong hệ thống giao thông đô thị của TP Cảng.","Nút giao thông nam cầu Bính (ngã ba Thượng Lý) là nút giao lập thể khác mức ngã sáu, với ba tầng (tầng hầm, tầng mặt và cầu vượt) đầu tiên được xây dựng tại Hải Phòng. Nút giao gồm: tầng hầm nối từ đường Bạch Đằng xuyên qua đường sắt đến đường Hồng Bàng; tầng mặt được cải tạo lại hiện trạng và cầu vượt nối từ đường cầu Bính vượt qua đường Hồng Bàng đến sông Rế (thuộc huyện An Dương) và hệ thống cầu vượt trực thông nhiều nhánh (từ cầu Bính đi đường vành đai 2 và đường Hồng Bàng; từ đường Hồng Bàng đi cầu Bính theo vòng xoay lên cầu vượt...). Dự án có tổng mức đầu tư 1.482,6 tỷ đồng. Trong phạm vi nút giao, các hạng mục gồm: cải tạo đường Hồng Bàng rộng 50 m; cải tạo đường Bạch Đằng rộng 45,5 m; đường dẫn phía cầu Bính rộng 41 m, kết cấu mặt đường cấp cao A1; cầu vượt trực thông nhánh từ cầu Bính đi đường vành đai 2 gồm 14 nhịp bản đổ tại chỗ, dầm bản rỗng bằng bê-tông dự ứng lực dài 432,2 m; nhánh từ cầu Bính đi đường Hồng Bàng gồm bốn nhịp bản đổ tại chỗ, dài 123,1 m và tường chắn đầu cầu dài 70 m; nhánh đường Hồng Bàng - cầu Bính đi theo vòng xoay lên cầu vượt gồm năm nhịp bản đổ tại chỗ, dài 120 m; hầm chui từ đường Bạch Đằng vào đường Hồng Bàng chui dưới đường sắt có phần hầm kín dài 190 m, phần hở hai đầu hầm dài 140 m, mặt cắt ngang hầm rộng 15 m.... Tổ hợp nút giao thông lập thể khác mức nam cầu Bính sẽ góp phần cải tạo điều kiện giao thông tại cửa ngõ phía tây bắc của TP Cảng, khắc phục tình trạng ùn tắc và xung đột giao thông tại cửa ngõ quan trọng này. Nút giao cũng góp phần nâng cao năng lực khai thác cầu Bính, thuận lợi kết nối trong khu vực với Quốc lộ 5, Quốc lộ 10 và khu đô thị bắc sông Cấm trong tương lai và từng bước hoàn thiện mạng lưới giao thông TP Hải Phòng Dự án phấn đấu hoàn thành vào cuối năm 2019.","02-09-2018_11-08-29"
