lang,category,time,url,title,intro,content
vi,Hàng không,15-09-2018_00-00-00,https://www.tapchihangkhong.com/my-ap-lenh-trung-phat-cong-ty-hang-khong-cua-thai-lan/,Mỹ áp lệnh trừng phạt Công ty hàng không của Thái Lan,,"Mỹ đã áp đặt lệnh trừng phạt đối với một công ty hàng không Thái Lan mà Washington cáo buộc đang hoạt động trên danh nghĩa hãng hàng không Mahan của Iran. Ngày 14/9, Mỹ đã áp đặt lệnh trừng phạt đối với một công ty hàng không Thái Lan mà Washington cáo buộc đang hoạt động trên danh nghĩa hãng hàng không Mahan của Iran. Hãng hàng không Mahan đang phải chịu các biện pháp trừng phạt của Mỹ vì những cáo buộc liên quan tới việc chuyên chở binh lính và vũ khí hỗ trợ cho Chính quyền Tổng thống Syria Bashar al-Assad. Theo phóng viên tại Washington, Văn phòng Kiểm soát tài sản nước ngoài (OFAC) thuộc Bộ Tài chính Mỹ đã thông báo đưa công ty hàng không My Aviation, có trụ sở tại Bangkok, “vào danh sách chỉ định trừng phạt do có các hoạt động thay cho, hoặc thay mặt hãng hàng không Mahan của Iran, một hãng hàng không bị Mỹ trừng phạt do hỗ trợ các hoạt động khủng bố của Iran.” Bộ trên cáo buộc My Aviation đã cung cấp dịch vụ vận tải hàng hóa cũng như dịch vụ đặt chỗ khách hàng cho hàng không Mahan Air. Thông báo trích dẫn phát biểu của Bộ trưởng Tài chính Steven Mnuchin khẳng định My Aviation đã bỏ qua rất nhiều cảnh bảo từ Chính phủ Mỹ cũng như Chính phủ Thái Lan về việc cắt đứt các mối liên hệ với hàng không Mahan. Quyết định trên được đưa ra trong bối cảnh quan hệ Iran và Mỹ căng thẳng leo thang sau khi Tổng thống Mỹ Donald Trump đã rút Mỹ khỏi thỏa thuận hạt nhân có tên gọi Kế hoạch Hành động chung toàn diện (JCPOA) và tái áp đặt một loạt biện pháp trừng phạt đơn phương đối với Iran. Các động thái này của Washington đã khiến nền kinh tế Iran trì trệ."
vi,Hàng không,13-09-2018_00-00-00,https://www.tapchihangkhong.com/bi-an-may-bay-gay-duoi-nghi-mh370-trong-rung-ram-campuchia-duoc-giai-ma/,Bí ẩn máy bay gãy đuôi nghi MH370 trong rừng rậm Campuchia được giải mã,,"Một nhóm chuyên gia hàng không đã bay trực thăng tới khu rừng rậm nhiệt đới ở Campuchia để xác minh thông tin về chiếc máy bay nghi là MH370 rơi trong khu vực này. Đầu tháng 9, chuyên gia công nghệ người Anh Ian Wilson khẳng định tìm thấy chiếc máy bay biến mất bí ẩn cách đây 4 năm của Malaysia Airlines tại một khu rừng rậm tại Campuchia, cách thủ đô Phnom Penh 97 km về phía Đông. Tuy nhiên, phần đuôi của chiếc phi cơ mà ông tìm thấy thông qua Google Maps bị gãy rời khỏi thân. Thông tin của Wilson khiến nhiều người ngờ vực bởi chuyên gia người Anh cho biết các số đo của chiếc máy bay mà ông tìm thấy tương đương với số đo của chiếc Boeing 777-200 biến mất bí ẩn cách đây hơn 4 năm. Cụ thể, chiếc phi cơ trong khu rừng ở Campuchia dài khoảng 70 m, lớn hơn một chút so với chiều dài 63,7m của MH370. Để xác minh nghi vấn này, một nhóm chuyên gia bao gồm chuyên gia tư vấn hàng không Zorba Parer, doanh nhân địa phương Nara Kang và nhà báo Michael Carr đã thuê một chiếc trực thực thăng với giá khoảng 3.800 USD (hơn 90 triệu đồng) bay vào khu rừng để tìm kiếm. Nhóm này đã bay ở độ cao hơn 150 m, lùng sục nhiều ngóc ngách nhưng không hề tìm thấy chiếc máy bay. Các nhà tìm kiếm cho rằng nguyên nhân thất bại của chiến dịch tìm kiếm hoặc là do mây dày cản trở tầm quan sát hoặc do tọa độ đã bị cung cấp sai và không loại trừ khả năng không có bất cứ máy bay nào ở đó. “Chúng tôi đã cố gắng tìm kiếm bất cứ mảnh vỡ máy bay nào có thể rải rác trong khu rừng nhưng không tìm thấy gì cả. Chúng tôi cũng không tìm thấy dấu vết của chiếc máy bay hay thi thể các nạn nhân”, ông Parer, một cựu nhân viên của NASA cho biết. Parer khẳng định nhóm của ông là những người đầu tiên tới tìm kiếm khu vực này bằng trực thăng. Họ ban đầu định đi bộ nhưng quyết định từ bỏ vì cho rằng quá mạo hiểm. Cách đây vài ngày, chính phủ Trung Quốc đã cử công ty quan sát Space View điều vệ tinh tới chụp ảnh khu rừng rậm. Nhưng Space View cũng khẳng định không có bất cứ dấu hiệu nào của chiếc máy bay. “Các bên liên quan và những người ngoài cuộc yêu cầu Space View chụp ảnh vệ tinh ở khu vực này. Chúng tôi đã tìm thấy 3 bức ảnh trong kho dữ liệu chụp vào các năm 2015, 2016 và 2018. Nhưng đáng tiếc là không có chiếc máy bay nào được tìm thấy”, đại điện của Space View viết trên Twitter. Chuyến bay mang số hiệu MH370 biến mất hơn 4 năm trước cùng 239 người là một trong những bí ẩn lớn nhất trong lịch sử hàng không thế giới. Bất chấp các cuộc tìm kiếm quy mô lớn trong thời gian dài, chiếc máy bay vẫn không được tìm thấy. Trong báo cáo cuối cùng công bố ngày 30/7 dài 495 trang, các điều tra viên Malaysia cho biết họ vẫn chưa thể xác định nguyên nhân chính xác máy bay biến mất."
vi,Hàng không,13-09-2018_00-00-00,https://www.tapchihangkhong.com/thach-thuc-ve-su-dung-nhien-lieu-cua-nganh-hang-khong/,Thách thức về sử dụng nhiên liệu của ngành hàng không,,"Một nghiên cứu của Hội đồng Vận tải sạch quốc tế (ICCT) vừa công bố, cho thấy kể từ năm 2014, vận tải hàng không xuyên Đại Tây Dương đã cải thiện đáng kể hiệu suất sử dụng nhiên liệu với mức cải thiện là 1%/năm, nhưng vẫn chưa đủ để ngành vận tải này đạt được các mục tiêu khí hậu đã đề ra. Theo ICCT, ngành vận tải hàng không sẽ phải chú trọng các chính sách mới nhằm đẩy mạnh đầu tư vào các mẫu máy bay hiện đại, tiết kiệm nhiên liệu để có thể đạt được những mục tiêu khí hậu lâu dài. Vận tải hàng không tạo ra khoảng 2% lượng khí carbon do con người thải ra trên toàn cầu. Theo thỏa thuận của Tổ chức Hàng không dân dụng quốc tế (ICAO) đạt được 2 năm trước, kể từ tháng 1-2019, tất cả các hãng hàng không khai thác các đường bay quốc tế sẽ phải giám sát lượng tiêu thụ nhiên liệu và khí thải carbon. Ngoài ra, còn có mục tiêu không bắt buộc là hạn chế phát thải từ các chuyến bay quốc tế ở mức tối đa tương đương với mức xả thải của năm 2020."
vi,Hàng không,12-09-2018_00-00-00,https://www.tapchihangkhong.com/boeing-du-bao-trung-quoc-se-mua-gan-7-700-may-bay-moi-trong-20-nam-toi/,Boeing dự báo Trung Quốc sẽ mua gần 7700 máy bay mới trong 20 năm tới,,"Tập đoàn sản xuất máy bay Boeing của Mỹ dự báo các hãng hàng không Trung Quốc sẽ mua thêm 7.690 máy bay thương mại, trị giá 1,2 nghìn tỷ USD trong vòng 20 năm tới. Theo đó, Trung Quốc cần mua nhiều máy bay thương mại hơn để theo kịp với nhu cầu tiêu dùng và kinh doanh đang bùng nổ đối với ngành hàng không, Boeing Co (BA.N) đánh giá. Dự báo mới nhất về nhu cầu mua máy bay của các hãng hàng không Trung Quốc trong thời gian từ nay đến năm 2037 của Boeing cao hơn 6,2% so với con số dự báo là 7.240 máy bay mà hãng này đưa ra năm 2017. Trung Quốc sẽ mua khoảng 7.690 máy bay thương mại mới trong 20 năm tới. Ông Randy Tinseth, phó chủ tịch tiếp thị của Boeing Commercial Airplanes nói: “Sự tăng trưởng ở Trung Quốc có thể là do tầng lớp trung lưu đang phát triển của đất nước tăng gấp 3 lần trong 10 năm qua và dự kiến ​​sẽ tăng gấp đôi trong 10 năm tới”. Boeing và đối thủ châu Âu Airbus (AIR.PA) đã và đang cố gắng tăng thị phần ở Trung Quốc – thị trường hàng không phát triển nhanh nhất thế giới. Tuy nhiên, Boeing đang bị ảnh hưởng bởi cuộc chiến thương mại Mỹ – Trung. Các máy bay lớn đã bị Trung Quốc loại khỏi danh sách nhằm trả đũa Mỹ. Trong khi đó, Tổng thống Mỹ Donald Trump vẫn tiếp tục đe dọa sẽ đánh thuế hầu như tất cả các mặt hàng nhập khẩu Trung Quốc vào Mỹ. Boeing cũng dự đoán rằng Trung Quốc sẽ chiếm 18% đội tàu bay thương mại của thế giới vào năm 2037, tăng từ 15% hiện nay và dự báo rằng quốc gia này sẽ cần hơn 1,5 nghìn tỷ USD trong các dịch vụ thương mại để hỗ trợ đội bay của mình."
vi,Hàng không,06-09-2018_00-00-00,https://www.tapchihangkhong.com/cach-ly-may-bay-cua-emirates-do-hang-loat-hanh-khach-bi-benh/,Cách ly máy bay của Emirates do hàng loạt hành khách bị bệnh,,"Ngày 5/9, phương tiện truyền thông Mỹ cho hay một chiếc máy bay của Hãng hàng không Emirates đã bị cách ly tại sân bay quốc tế John F. Kennedy ở thành phố New York do phát hiện có hành khách bị bệnh trên chuyến bay. Theo người phát ngôn hãng hàng không Emirates, chuyến bay Airbus A380 số hiệu 203 của Hãng hàng không Emirates khởi hành từ Dubai, các tiểu vương quốc Ả-rập Thống nhất tới New York chở khoảng 500 hành khách đã hạ cánh an toàn vào sáng ngày 5/9. Emirates xác nhận rằng khoảng 10 hành khách trên chuyến bay bị bệnh. Khi đến sân bay John F. Kennedy, để phòng ngừa, họ đã được các cơ quan y tế địa phương kiểm tra ngay lập tức và những người này cần được chăm sóc y tế. Văn phòng Thị trưởng New York đã xác nhận thông tin này."
vi,Hàng không,07-09-2018_00-00-00,https://www.tapchihangkhong.com/dai-loan-cam-on-hang-hang-khong-my-qua-mat-bac-kinh-khong-goi-la-dai-bac-trung-quoc/,Đài Loan cảm ơn hãng hàng không Mỹ qua mặt Bắc Kinh không gọi là Đài Bắc Trung Quốc,,"Hãng hàng không United Airlines (Mỹ) tìm ra cách đặc biệt để “phân biệt” Đài Loan và Trung Quốc Đại lục mà vẫn tuân thủ yêu cầu của Bắc Kinh về chính sách “Một Trung Quốc”. Theo đó, người đặt vé máy bay trên website của United Airlines có thể nhìn thấy những lựa chọn là “Tân Đài tệ”, “Nhân dân tệ” và “Dollar Hồng Kông”, được liệt kê trong danh sách cùng những điểm đến như Australia, Ấn Độ, Nhật Bản… khi tìm kiếm đơn vị tiền tệ và phương thức thanh toán. Hồi tháng trước, hãng hàng không lớn thứ ba nước Mỹ này đã xóa bỏ tên Đài Loan, Trung Quốc và Hồng Kông trong phần danh sách các quốc gia và vùng lãnh thổ, trước hạn chót mà Cơ quan Hàng không Dân dụng Trung Quốc (CAAC) đưa ra là ngày 25/7. Hiện nay trên website của United Airlines, các điểm đến ở Trung Quốc Đại lục, Hồng Kông hay Đài Loan chỉ được liệt kê bằng tên thành phố hoặc mã sân bay. United Airlines là một trong 44 hãng hàng không quốc tế nhận được yêu cầu của CAAC về việc phải thay đổi thông tin trên trang web hay những nền tảng khác liên quan đến Hồng Kông, Macau và Đài Loan, và phải đề cập những địa điểm này như là một phần của Trung Quốc. Nhiều hãng hàng không lớn của các nước như Air Canada, Lufthansa hay British Airways đã thực hiện sửa đổi, còn một số hãng hàng không của Mỹ như Delta Air Lines và United Airlines, yêu cầu có thêm thời gian để xử lý. Hầu hết hãng hàng không khác hiện đã ghi tên Đài Loan trên hệ thống của họ là “Đài Loan, Trung Quốc” hoặc “Đài Loan, lãnh thổ Trung Quốc”. Một số hãng cho hiển thị trên bản đồ vị trí của đảo Đài Loan bằng màu sắc được dùng cho Trung Quốc Đại lục. Chính phủ Trung Quốc coi Đài Loan là lãnh thổ không tách rời của Trung Quốc và đang chờ ngày thống nhất – kể cả bằng quân sự nếu cần thiết. Bắc Kinh phản đối mọi hình thức liên hệ chính thức về ngoại giao và quân sự của các nước với chính quyền Đài Loan. Liên quan đến vụ “lách luật” của United Airlines, phát ngôn viên cơ quan ngoại giao Đài Loan Li Hsien-chang đã gửi lời cảm ơn hãng hàng không này nhờ sự “linh hoạt” trong việc sử dụng đơn vị tiền tệ để ám chỉ lập trường của họ trong vấn đề “Một Trung Quốc”. Ông Li nói Bắc Kinh đang gây sức ép lên các hãng hàng không quốc tế nhằm “hạ thấp Đài Loan” và chỉ trích điều này là “hoàn toàn không thể chấp nhận”."
vi,Hàng không,11-09-2018_00-00-00,https://www.tapchihangkhong.com/san-bay-dong-cua-vi-cuoc-truy-duoi-xe-dien-trong-duong-bang/,Sân bay đóng cửa vì cuộc truy đuổi xe điên trong đường băng,,"Theo AFP dẫn lời đại diện cảnh sát thành phố Lyon, Pháp hôm 10-9 cho biết, họ đã bắt giữ một người đàn ông lái xe ô tô, sau cuộc truy đuổi trên đường băng sân bay Lyon Saint-Exupery. Trong thông báo của cảnh sát thành phố Lyon có đoạn: “Chúng tôi đã bắt giữ một người đàn ông sau khi người này điều khiển xe chạy thẳng vào trong đường băng sân bay với tốc độ cao. Không có người bị thương trong vụ việc nhưng sân bay đã buộc phải đóng cửa, nhiều chuyến bay đã bị trễ hoặc buộc phải hủy”. Theo cảnh sát cho biết, nghi phạm đã cho xe lao qua trạm gác an ninh ở sân bay Lyon-Bron, sau đó chạy ngược chiều trên cao tốc dẫn vào khu vực sân bay. Cuối cùng, hắn cho xe lao vào cửa kính ở ga hành khách và chạy tốc độ cao trên đường băng. May mắn là không có va chạm nào với các máy bay đang cất và hạ cánh. Đoạn clip được tung lên mạng cho thấy, chiếc xe ô tô 4 chỗ màu trắng bị nhiều xe cảnh sát truy đuổi. Nó chỉ chịu dừng lại khi đâm phải một ụ đất bên trong khu vực phía ngoài đường băng. Nghi phạm sau đó đã mở cửa xe bỏ chạy nhưng bị cảnh sát tóm gọn. Hiện vụ việc đang được tích cực điều tra, tuy nhiên chưa tìm thấy bằng chứng nào chứng minh vụ việc có liên quan tới khủng bố. Sân bay Lyon-Saint Exupery là sân bay lớn thứ 4 tại Pháp, năm 2017 nó đã đón tới 10 triệu lượt khách cả trong và ngoài nước Pháp."
vi,Hàng không,11-09-2018_00-00-00,https://www.tapchihangkhong.com/uc-may-bay-quay-dau-vi-hanh-khach-bong-hoa-dien-nhu-thu/,Úc Máy bay quay đầu vì hành khách bỗng hóa điên như thú,,"Một chuyến bay dài 17 giờ đồng hồ từ Perth, Úc đến London, Anh, đã buộc phải quay đầu trở về điểm xuất phát vì sự cố bất thường trên máy bay. Theo Daily Mail, chuyến bay QF9 của hãng hàng không Quantas buộc phải quay đầu khi mới bay được 2 giờ. Máy bay cất cánh lúc 7 giờ 3 phút và quay trở về thủ phủ ban Tây Úc lúc 10 giờ 32 phút (giờ London). Hành khách có vấn đề sau đó bị cảnh sát liên bang Úc đưa khỏi máy bay. Dữ liệu trên Flightradar24 cho thấy máy bay trở về Perth, gần vịnh Cá mập. Một hành khách trên máy bay nói người đàn ông khả khi bất ngờ trở nên kích động và “điên cuồng như con thú bị dồn vào chân tường”. Người này có hành động lạ sau khi trở về ghế hành khách từ phòng vệ sinh. Tờ báo địa phương mô tả người đàn ông đứng lên “hò hét, chỉ tay với thái độ hung hãn”. “Lúc đó tôi không nghe rõ người đàn ông này nói gì. Các hành khách sau đó giúp khống chế người đàn ông khả nghi”, nhân chứng nói. Người này sau đó bị đưa xuống cuối máy bay. Người đàn ông dường như bị thương trong khi các hành khách và tiếp viên cố gắng khống chế. Phi hành đoàn được ca ngợi vì đã giúp tình hình sớm trở nên ổn định. Phát ngôn viên hãng Qantas nói: “Chúng tôi không chấp nhận bất kỳ hành vi gây rối nào trên máy bay. An toàn của hành khách và phi hành đoàn là ưu tiên số một”. Qantas nói họ đã sắp xếp chỗ ngủ qua đêm cho các hành khách. Chuyến bay QF9 chỉ rời Perth đến Londonn vào ngày hôm sau. Cảnh sát Úc hiện vẫn đang điều tra vụ việc. Chuyến bay thẳng từ Úc đến London mới được khai trang kể từ tháng 3 năm nay. Quãng đường bay tới 14.000km, kéo dài trong 17 giờ đồng hồ."
vi,Hàng không,08-09-2018_00-00-00,https://www.tapchihangkhong.com/380-000-khach-cua-hang-hang-khong-anh-bi-danh-cap-thong-tin-the-ngan-hang/,380000 khách của hãng hàng không Anh bị đánh cắp thông tin thẻ ngân hàng,,"Hãng hàng không Anh quốc British Airways ngày 6/9 cho biết thông tin cá nhân và thông tin tài chính của khách hàng đặt chuyến bay với hãng này từ ngày 21/8-5/9 đã bị đánh cắp trong một vụ tấn công dữ liệu. Có tổng số 380.000 thẻ ngân hàng bị đánh cắp thông tin trong vụ này. “Chúng tôi đang khẩn trương tiến hành điều tra vụ đánh cắp dữ liệu khách hàng từ trang web và ứng dụng di động của chúng tôi. Vụ đánh cắp dữ liệu này không bao gồm thông tin đi lại và thông tin hộ chiếu”, hãng tin Bloomberg dẫn tuyên bố của British Airways cho hay. “Thông tin cá nhân và thông tin tài chính của khách hàng đặt chuyến bay trên trang web và ứng dụng của chúng tôi đã bị đánh cắp”, tuyên bố nói. “Vụ tấn công đã bị chặn lại và website của chúng tôi hiện đang hoạt động bình thường. Chúng tôi đã thông báo với cảnh sát và nhà chức trách. Chúng tôi vô cùng xin lỗi vì sự gián đoạn mà hành động tội phạm này đã gây ra”. British Airways cho biết vụ đánh cắp dữ liệu xảy ra trong khoảng thời gian từ 21h58 giờ GMT ngày 21/8 đến 20h45 giờ GMT ngày 5/9. Khoảng 380.000 thẻ thanh toán bị lộ dữ liệu trong vụ tấn công này. Hãng hàng không khuyến nghị các khách hàng tin là mình bị ảnh hưởng nên liên lạc với ngân hàng hoặc nhà cung cấp thẻ tín dụng và làm theo hướng dẫn. Về vấn đề bồi thường, British Airways nói hãng sẽ liên lạc với khách hàng và giải quyết yêu cầu bồi thường theo từng trường hợp. Cơ quan Phòng chống tội phạm Quốc gia Anh cho biết đã được biết tin về vụ tấn công dữ liệu nhằm vào British Airways và đang cân nhắc hướng giải quyết. Đây không phải là lần đầu tiên hệ thống mạng của British Airways gặp sự cố trong thời gian gần đây. Hồi tháng 7, hãng này phải xin lỗi sau khi vấn đề kỹ thuật khiến hàng chục chuyến bay ra vào sân bay Heathrow ở London bị hủy. Vào tháng 5/2017, hệ thống mạng của British Airways cũng gặp sự cố, khiến 75.000 hành khách bị mắc kẹt ở Heathrow. IAG, công ty sở hữu British Airways và hãng hàng không Tây Ban Nha Iberia, tháng trước cho biết lợi nhuận trong nửa đầu năm nay tăng hơn gấp đôi. Lợi nhuận sau thuế của IAG đạt 1,4 tỷ Euro, tương đương 1,6 tỷ USD, trong 6 tháng đầu năm 2018, so với 607 triệu Euro cùng kỳ năm ngoái."
vi,Hàng không,14-09-2018_00-00-00,https://www.tapchihangkhong.com/southwest-airlines-tao-trai-nghiem-wow-cho-khach-hang/,SouthWest Airlines tạo trải nghiệm wow cho khách hàng,,"Đó là SouthWest Airlines của Mỹ. Một hãng hàng không giá rẻ nhưng tạo ra nhiều trải nghiệm “wow” cho khách hàng, với tỷ lệ than phiền được đánh giá là “thấp nhất trong ngành hàng không nước Mỹ”. Trong buổi hội thảo về văn hóa doanh nghiệp tại TP HCM gần đây, một chủ đề được nhiều công ty lớn nhỏ ở Việt Nam đang rất quan tâm để gây dựng, bà Nguyễn Trịnh Khánh Linh, CEO Học viện doanh nhân Dale Carnegie, đã nêu ra những ví dụ điển hình về những doanh nghiệp gây dựng văn hóa tốt và cả những trường hợp thất bại vì văn hóa tệ. Một điển hình về hãng hàng không xây dựng văn hóa công ty thành công và tạo nên hiệu quả tốt mà bà Linh đưa ra là SouthWest Airlines của Mỹ. Qua tìm hiểu và thông tin từ hội thảo, chúng tôi có thêm thông tin về SouthWest Airlines để giới thiệu cho độc giả. Những thành công vượt trội của SouthWest Airlines Nói đến những hãng hàng không giá rẻ, người ta thường liên tưởng tới chất lượng, dịch vụ kém hay trễ giờ, hủy chuyến. Nhưng SouthWest Airlines, hãng hàng không giá rẻ của Mỹ, đã tạo ra những điều vượt qua định kiến của nhiều người. Là hãng hàng không giá rẻ lớn nhất tại Mỹ, Southwest sở hữu số lượng máy bay nhiều thứ 3 trên thế giới, 539 chiếc và toàn là Boeing 777. Southwest có số doanh thu lớn thứ 6 tại Mỹ, còn nếu xét về số lượng hành khách mà hãng chuyên chở, Southwest là hãng hàng không lớn nhất trên thế giới những năm 90. Mỗi ngày, hãng cung cấp trung bình khoảng 3.500 chuyến bay. Thành lập năm 1971, SouthWest tự tiếp thị là hãng hàng không của tình yêu. SouthWest tạo ra những giá trị như giá rẻ nhưng chất lượng cao, tỷ lệ than phiền thấp nhất tại thị trường Mỹ. Khi nhắc tới SouthWest Airlines, người ta nhắc đến câu chuyện khách hàng không bị thu tiền hành lý và khách hàng cũng được quyền tự do hủy hay đổi chuyến bay tự do mà không bị tính tiền ngay cả khi họ đã làm thủ tục Check in và đã in vé lên tàu bay. Hay thay vì tốn nhiều tiền để chen chúc vào các sân bay trung tâm, quy mô lớn và hiện đại ở thành phố lớn, Southwest thường chọn địa bàn hoạt động tại các sân bay phụ, nhỏ, rẻ. Ví dụ như thay vì bay đến Dallas Forth Worth (DFW), hãng bay đến Dallas Love Field (DAL); thay vì bay đến Chicago sân bay Quốc tế O’Hare , hãng bay đến sân bay quốc tế Chicago Midway thay vì Sân bay quốc tế John F. Kennedy tại New York , hãng chọn sân bay LaGuardia… để tiết kiệm chi phí."
